PlayedAt,TrackName,ArtistName,TrackId,TrackURL
"December 17, 2024 at 10:07PM",Guala,WIU,5emXCWhIK8qnUJeB2CCcIl,https://open.spotify.com/track/5emXCWhIK8qnUJeB2CCcIl
"December 17, 2024 at 10:11PM",Brinca Demais,WIU,1JzMOnuyabzpRuSudDD4Cq,https://open.spotify.com/track/1JzMOnuyabzpRuSudDD4Cq
"December 17, 2024 at 10:13PM",Stripper,Jé,0fM8ZFrFyBYvd3rWvWdynT,https://open.spotify.com/track/0fM8ZFrFyBYvd3rWvWdynT
"December 17, 2024 at 10:16PM",SÃO PAULO,Kyan,37srJxBv0dfjmyvbX7xMAh,https://open.spotify.com/track/37srJxBv0dfjmyvbX7xMAh
"December 17, 2024 at 10:18PM",SEGREDO,Alee,7mT0dfFa2xaBojcdtkIa8B,https://open.spotify.com/track/7mT0dfFa2xaBojcdtkIa8B
"December 17, 2024 at 10:21PM",acabou o amor,MC Cabelinho,3TuJODOhChHkg1pbMQ8RW4,https://open.spotify.com/track/3TuJODOhChHkg1pbMQ8RW4
"December 17, 2024 at 10:23PM",CAROLINA,Alee,1wmNHmZufkSGespZ0ytzlB,https://open.spotify.com/track/1wmNHmZufkSGespZ0ytzlB
"December 17, 2024 at 10:26PM",Baby Cê é Gata,Kyan,66fVMFVA9WGRtwLCaF93U5,https://open.spotify.com/track/66fVMFVA9WGRtwLCaF93U5
"December 17, 2024 at 10:29PM",Favorita,Volp,1wtfZcywQbynryjXGBNfMQ,https://open.spotify.com/track/1wtfZcywQbynryjXGBNfMQ
"December 17, 2024 at 10:32PM",Nós Combina,Mãolee,4ZrKyfCV1UcHuZjbLp03fM,https://open.spotify.com/track/4ZrKyfCV1UcHuZjbLp03fM
"December 17, 2024 at 10:35PM",MVP,"Ryu, The Runner",5rdjuaqLkkwgxfUUGgFgo1,https://open.spotify.com/track/5rdjuaqLkkwgxfUUGgFgo1
"December 17, 2024 at 10:38PM",Outro Plano,Logri,6rBjdgAeRTHyqvQbqZgPw6,https://open.spotify.com/track/6rBjdgAeRTHyqvQbqZgPw6
"December 17, 2024 at 10:42PM",Carro Forte,BIN,1TL33F4bcT9fZPSqvUbFV5,https://open.spotify.com/track/1TL33F4bcT9fZPSqvUbFV5
"December 17, 2024 at 10:45PM",Covardia,BIN,04yRKQeVouZn2gHCr1G6wU,https://open.spotify.com/track/04yRKQeVouZn2gHCr1G6wU
"December 17, 2024 at 10:50PM",Lenda,Filipe Ret,4s9dSsjUpZDSh1NWi8hLcF,https://open.spotify.com/track/4s9dSsjUpZDSh1NWi8hLcF
"December 17, 2024 at 10:53PM",TAMBOR,Alee,6lUV4vN68pfhLI4k0NSBYP,https://open.spotify.com/track/6lUV4vN68pfhLI4k0NSBYP
